descriptor,n,rho,p_value,q_value
molar_refractivity,1223,-0.2984278782378294,1.4087504358314298e-26,1.6905005229977156e-25
rotb,1223,-0.29486062140899744,5.878251798977475e-26,3.526951079386485e-25
mw,1223,-0.28166439995977405,9.746049311636208e-24,3.8984197246544834e-23
heavy_atoms,1223,-0.27167477341557844,3.9021737674648396e-22,1.170652130239452e-21
fsp3,1223,-0.23230567027799937,1.894548770709988e-16,4.546917049703971e-16
rings,1223,-0.13865373721013322,1.1302586876090721e-06,2.2605173752181443e-06
n_hetero,1223,-0.13557700390988578,1.950774696958411e-06,3.3441851947858475e-06
hbd,1223,0.11664599877117675,4.331054321957506e-05,6.496581482936259e-05
tpsa,1223,-0.0737164523021418,0.009913214454030789,0.013217619272041051
clogp,1223,-0.057587219026155344,0.04406012208584706,0.04837045148188954
hba,1223,-0.05751149415845459,0.04433958052506541,0.04837045148188954
aromatic_rings,1223,0.0029798481484567298,0.9170874651060873,0.9170874651060873
