core,id_i,id_j,sub_i,sub_j,activity_i,se_i,activity_j,se_j,delta_activity,abs_delta,se_diff,p_value,q_value,significant
Cc1nc(-c2ccc(F)cc2)sc1CCNC(=O)[*:1],OCNT-0482126-AA-001,OCNT-0482092-AA-001,CCOc1ccc(C[*:1])cc1,CCOc1ccc([*:1])cc1OCC,-3.9057253875151936,0.5928530412365562,0.1516548645708901,0.024505643971033,-4.057380252086084,4.057380252086084,0.5933592967923136,8.031642789911326e-12,1.5952459340026797e-11,True
O=C(Cn1cnc2ccccc2c1=O)NCC(=O)N[*:1],OCNT-0461685-AA-001,OCNT-0461681-AA-001,CCCCN(CC)CC[*:1],CCN(CCC[*:1])c1cccc(C)c1,0.0667980952604505,0.0353060662111731,-3.9533743153776646,0.0265888607303974,4.020172410638115,4.020172410638115,0.044198255918624293,0.0,0.0,True
O=C(CNC(=O)Cn1cnc2ccccc2c1=O)NCC[*:1],OCNT-0461685-AA-001,OCNT-0461681-AA-001,CCCCN(CC)[*:1],CCN(C[*:1])c1cccc(C)c1,0.0667980952604505,0.0353060662111731,-3.9533743153776646,0.0265888607303974,4.020172410638115,4.020172410638115,0.044198255918624293,0.0,0.0,True
O=C(CNC(=O)Cn1cnc2ccccc2c1=O)NC[*:1],OCNT-0461685-AA-001,OCNT-0461681-AA-001,CCCCN(CC)C[*:1],CCN(CC[*:1])c1cccc(C)c1,0.0667980952604505,0.0353060662111731,-3.9533743153776646,0.0265888607303974,4.020172410638115,4.020172410638115,0.044198255918624293,0.0,0.0,True
Cc1nc(-c2ccc(F)cc2)sc1CC[*:1],OCNT-0482126-AA-001,OCNT-0482096-AA-001,CCOc1ccc(CC(=O)N[*:1])cc1,COc1ccc(C(=O)N[*:1])cc1,-3.9057253875151936,0.5928530412365562,-0.0134891457582115,0.0520672660222867,-3.892236241756982,3.892236241756982,0.5951350508031513,6.148220504520557e-11,1.1827590860504562e-10,True
Cc1nc(-c2ccc(F)cc2)sc1CCNC(=O)[*:1],OCNT-0482126-AA-001,OCNT-0482096-AA-001,CCOc1ccc(C[*:1])cc1,COc1ccc([*:1])cc1,-3.9057253875151936,0.5928530412365562,-0.0134891457582115,0.0520672660222867,-3.892236241756982,3.892236241756982,0.5951350508031513,6.148220504520557e-11,1.1827590860504562e-10,True
Cc1nc2c3cccnc3nn2c(C)c1C[*:1],OCNT-0479397-AA-001,OCNT-0479399-AA-001,O=C(C[*:1])Nc1ccc(F)c(F)c1,CSc1cccc(NC(=O)C[*:1])c1,0.1520806334827531,0.0259927505554285,-3.709749168768081,0.0370471673641053,3.861829802250834,3.861829802250834,0.04525611219648411,0.0,0.0,True
Cc1nc2c3cccnc3nn2c(C)c1CCC(=O)N[*:1],OCNT-0479397-AA-001,OCNT-0479399-AA-001,Fc1ccc([*:1])cc1F,CSc1cccc([*:1])c1,0.1520806334827531,0.0259927505554285,-3.709749168768081,0.0370471673641053,3.861829802250834,3.861829802250834,0.04525611219648411,0.0,0.0,True
Cc1nc2c3cccnc3nn2c(C)c1[*:1],OCNT-0479397-AA-001,OCNT-0479399-AA-001,O=C(CC[*:1])Nc1ccc(F)c(F)c1,CSc1cccc(NC(=O)CC[*:1])c1,0.1520806334827531,0.0259927505554285,-3.709749168768081,0.0370471673641053,3.861829802250834,3.861829802250834,0.04525611219648411,0.0,0.0,True
Cc1nc2c3cccnc3nn2c(C)c1CC[*:1],OCNT-0479397-AA-001,OCNT-0479399-AA-001,O=C(Nc1ccc(F)c(F)c1)[*:1],CSc1cccc(NC(=O)[*:1])c1,0.1520806334827531,0.0259927505554285,-3.709749168768081,0.0370471673641053,3.861829802250834,3.861829802250834,0.04525611219648411,0.0,0.0,True
