transformation,n_pairs,mean_delta,median_delta,n_significant
CCOc1ccc(C[*:1])cc1>>COc1ccc(C[*:1])cc1,3,-2.8615522739083983,-2.984017838823823,3
CCOc1ccc(CNC(=O)[*:1])cc1>>COc1ccc(CNC(=O)[*:1])cc1,3,-2.8615522739083983,-2.984017838823823,3
CCOc1cccc(CNC(=O)[*:1])c1>>COc1ccc(CNC(=O)[*:1])cc1,3,-2.2183804457390655,-2.21612217578707,3
CCOc1cccc(C[*:1])c1>>COc1ccc(C[*:1])cc1,3,-2.2183804457390655,-2.21612217578707,3
CCOc1cccc([*:1])c1>>COc1ccc([*:1])cc1,3,-2.2183804457390655,-2.21612217578707,3
CCOc1ccc([*:1])cc1>>COc1ccc([*:1])cc1,4,-1.9043647131079653,-2.7620516247744353,4
CCc1ccc(CNC(=O)[*:1])cc1>>Cc1ccc(CNC(=O)[*:1])cc1,3,-1.7964022916591826,-2.555386679119033,2
COc1ccc([*:1])cc1>>c1cc2c(cc1[*:1])OCO2,3,-1.5590821393760101,-1.536559301094649,3
Cc1ccccc1[*:1]>>c1ccc([*:1])cc1,3,-1.3888278398860852,-1.854742265853395,3
CC[*:1]>>CO[*:1],4,-1.3838126861440787,-1.449520966052752,3
CCc1ccc([*:1])cc1>>COc1ccc([*:1])cc1,4,-1.3838126861440787,-1.449520966052752,3
CCc1ccc(C[*:1])cc1>>Cc1ccc(C[*:1])cc1,4,-1.3744921096183536,-1.340388769165782,3
Fc1cccc([*:1])c1>>Fc1ccccc1[*:1],3,-1.3488432279823748,-2.1643287918745306,3
CCN(C[*:1])c1cccc(C)c1>>CCN(Cc1ccccc1)C[*:1],3,-1.3266501922229108,-3.5991668329749316,3
CCC[*:1]>>C[*:1],3,-1.2595033320891378,-1.332940310056327,3
CC[*:1]>>F[*:1],3,-1.1182019100112888,-0.5560252931502089,2
CCc1ccc([*:1])cc1>>Fc1ccc([*:1])cc1,3,-1.1182019100112888,-0.5560252931502089,2
CCc1ccc([*:1])cc1>>Cc1ccc([*:1])cc1,7,-1.0807443035900217,-0.4550321351632956,5
O=C(Nc1ccc2c(c1)OCCO2)[*:1]>>O=C(Nc1ccc2c(c1)OCO2)[*:1],4,-1.0754281769048033,-0.3650113738191685,3
c1ccc(C[*:1])cc1>>c1ccc([*:1])cc1,5,-1.0678876570100753,0.08859097956771231,3
CCO[*:1]>>CO[*:1],6,-1.0126893440907825,-1.2787978483456037,5
C[*:1]>>c1ccc(C[*:1])cc1,4,-0.9989319923965081,-1.47240522392149,4
Cc1cccc([*:1])c1>>c1ccc(C[*:1])cc1,4,-0.9661042241985704,-1.7418165765502405,3
CCC[*:1]>>CC[*:1],3,-0.8856121230831357,-1.1809697769248948,2
CC[*:1]>>C[*:1],22,-0.8442953539474001,-0.3035013341473639,15
c1cc2c(cc1[*:1])OCCO2>>c1cc2c(cc1[*:1])OCO2,6,-0.8079967775714213,-0.3596750797065881,5
CCO[*:1]>>C[*:1],3,-0.777107131912838,-0.30620652831004835,3
Cc1ccc(C[*:1])cc1>>Cc1cccc(C[*:1])c1,3,-0.747697865831293,-0.47816087457663436,3
Cc1ccc([*:1])cc1>>Cc1cccc([*:1])c1,3,-0.747697865831293,-0.47816087457663436,3
CC(C)[*:1]>>CC[*:1],14,-0.6823235485125506,-0.4778873945148909,10
Cc1ccc(C[*:1])cc1>>Fc1ccc(C[*:1])cc1,4,-0.45427145858676166,-0.11416925586875107,1
COc1ccc([*:1])cc1>>COc1ccc([*:1])cc1OC,3,-0.44085671846742747,-0.38576531335335384,3
CCN(CCC[*:1])c1cccc(C)c1>>CCN(CCC[*:1])c1ccccc1,3,-0.3894079344661561,-0.21148729693829393,1
CCN(CC[*:1])c1cccc(C)c1>>CCN(CC[*:1])c1ccccc1,3,-0.3894079344661561,-0.21148729693829393,1
CCN(C[*:1])c1cccc(C)c1>>CCN(C[*:1])c1ccccc1,3,-0.3894079344661561,-0.21148729693829393,1
