scaffold,n_members,n_substrate,rate,background_rate,odds_ratio,p_value,q_value,direction
O=C(NCCc1cnc(-c2ccccc2)s1)c1ccccc1,11,8,0.7272727272727273,0.8777555110220441,0.3394181403308614,0.14574616576837662,1.0,depleted
c1ccc(Nc2ncnc3ccccc23)cc1,5,4,0.8,0.8764940239043825,0.424190800681431,0.484540055203393,1.0,depleted
O=C(N/C(=N/c1ccccc1)NCCc1c[nH]c2ccccc12)c1ccccc1,8,8,1.0,0.8751248751248751,2.4341129492298914,0.6057461468247336,1.0,enriched
O=C(NCc1ccccc1)c1cccc(CN2C(=O)C3CCCN3C(=O)c3ccccc32)c1,8,8,1.0,0.8751248751248751,2.4341129492298914,0.6057461468247336,1.0,enriched
O=C(CCN1C(=O)c2ccccc2C1=O)N1CCN(c2ccccc2)CC1,5,5,1.0,0.8754980079681275,1.5696418419556566,1.0,1.0,enriched
O=C(CCc1cnc2c3cccnc3nn2c1)Nc1ccccc1,8,7,0.875,0.8761238761238761,0.7094017094017094,1.0,1.0,depleted
O=C(CN1C(=O)C2CCCCN2c2ccc(C(=O)N3CCCC3)cc21)NCc1ccccc1,6,6,1.0,0.8753738783649053,1.8571428571428572,1.0,1.0,enriched
O=C(CSc1nc(-c2ccccc2)[nH]c1-c1ccccc1)Nc1ccc2c(c1)OCCO2,7,7,1.0,0.875249500998004,2.1452991452991452,1.0,1.0,enriched
O=C(NCc1ccccc1)c1ccc(CN2C(=O)C3CCCN3C(=O)c3ccccc32)cc1,6,6,1.0,0.8753738783649053,1.8571428571428572,1.0,1.0,enriched
O=C(Nc1ccc2c(c1)CCCN2C(=O)c1cccs1)c1ccccc1,6,6,1.0,0.8753738783649053,1.8571428571428572,1.0,1.0,enriched
O=C1NCCC1N1CCN(S(=O)(=O)c2ccccc2)CC1,5,5,1.0,0.8754980079681275,1.5696418419556566,1.0,1.0,enriched
O=S(=O)(c1ccc2c(c1)CCCC2)N1CCC2(CC1)NCCN=C2NCc1ccccc1,7,7,1.0,0.875249500998004,2.1452991452991452,1.0,1.0,enriched
