ocnt_batch,CYP2J2,CYP3A4,CYP2J2_call,CYP3A4_call
OCNT-0017486-AA-002,-0.0336161161311733,-0.0574594931423484,inconclusive,inconclusive
OCNT-0021863-AA-002,-0.6893405538727942,-0.5384128938890808,substrate,substrate
OCNT-0022119-AA-003,-0.0630328496664665,-1.0817490332608792,inconclusive,substrate
OCNT-0022128-AA-003,0.0390442179380489,-1.1792949782863051,non-substrate,substrate
OCNT-0022129-AA-002,0.0191759495288597,-0.3082321017048896,non-substrate,substrate
OCNT-0022137-AA-003,0.0110334765606687,-0.5026966071678398,non-substrate,substrate
OCNT-0022142-AA-001,-0.043467414069293,-0.2075882533745874,non-substrate,substrate
OCNT-0453746-AA-001,-0.0620908121374853,-2.324877951913919,inconclusive,substrate
OCNT-0453782-AA-001,-0.6269343158849571,-2.9830023704116657,substrate,substrate
OCNT-0453991-AA-001,-0.049700963799247,-0.2868116958385215,inconclusive,substrate
OCNT-0454217-AA-001,-0.2559834996979244,-0.3597697430605743,substrate,substrate
OCNT-0454221-AA-001,-0.3497385695670193,-0.503258541221651,substrate,substrate
OCNT-0454223-AA-001,-0.0555315832202595,-3.8631638072868184,inconclusive,substrate
OCNT-0454231-AA-001,-0.9015834875086408,-3.4531057123901374,substrate,substrate
OCNT-0454249-AA-001,0.0146114278722589,-0.0676587286458568,non-substrate,inconclusive
OCNT-0454251-AA-001,-0.0028163192581034,-0.1401463181578801,non-substrate,inconclusive
OCNT-0454253-AA-001,-0.0550662743444517,-0.277031231601191,inconclusive,inconclusive
OCNT-0454255-AA-001,-0.025962454376759,-0.2510114797729196,non-substrate,substrate
OCNT-0454257-AA-001,0.0227859798893769,-0.3710059119381237,non-substrate,substrate
OCNT-0454261-AA-001,0.0419873558537554,-0.0385643330075507,non-substrate,inconclusive
OCNT-0454263-AA-001,0.0442013847200926,-0.5136170554661863,non-substrate,substrate
OCNT-0454281-AA-001,-0.0315950264646466,-0.0906180252143209,inconclusive,inconclusive
OCNT-0454283-AA-001,0.0713070332030022,0.0113062312878623,non-substrate,inconclusive
OCNT-0454287-AA-001,0.0066464672174496,-0.1293466280332151,non-substrate,inconclusive
OCNT-0454289-AA-001,-0.0240630855578014,-0.187750468882986,inconclusive,substrate
OCNT-0454291-AA-001,0.0596547655642343,0.0346196994252933,non-substrate,inconclusive
OCNT-0454315-AA-001,-0.195718307856242,-2.9503144827724954,substrate,substrate
OCNT-0454320-AA-001,0.0576234110748753,-0.8170792758808745,non-substrate,substrate
OCNT-0454326-AA-001,0.0355519461845379,-0.3154850438594998,non-substrate,substrate
OCNT-0454333-AA-001,-0.0851521778416264,-1.2656668746183095,inconclusive,substrate
OCNT-0454371-AA-001,-0.0183271589500794,-0.0620437550953778,inconclusive,inconclusive
OCNT-0454376-AA-001,0.0250965229146507,-0.2870711949951868,non-substrate,substrate
OCNT-0454403-AA-001,0.0183645749846629,-0.2915040237034161,non-substrate,substrate
OCNT-0454415-AA-001,-1.8167003856616748,-3.670136061156272,substrate,substrate
OCNT-0454435-AA-001,0.0318426593317094,-1.920991401791876,non-substrate,substrate
OCNT-0454445-AA-001,-0.0726159104567176,-2.8459945122386676,inconclusive,substrate
OCNT-0454454-AA-001,-0.006426230376605,-0.0256967631029368,non-substrate,inconclusive
OCNT-0454455-AA-001,-0.3215608007160381,-3.1705219657040824,substrate,substrate
OCNT-0454474-AA-001,-0.012434787656093,0.0159628139002499,non-substrate,non-substrate
OCNT-0454477-AA-001,-0.1753566476357661,-1.7068413531005295,inconclusive,substrate
OCNT-0454506-AA-001,-0.0570763364978251,-2.6665002416795613,inconclusive,substrate
OCNT-0454509-AA-001,-0.1388001073575969,0.0898977005921659,inconclusive,non-substrate
OCNT-0454517-AA-001,-0.0202631878088073,-0.4712407214111564,non-substrate,substrate
OCNT-0454518-AA-001,-1.8062475229900383,-0.9127873389881632,substrate,substrate
OCNT-0454521-AA-001,-0.1702621463964355,-0.6812423797424505,substrate,substrate
OCNT-0454524-AA-001,0.0427211622233417,-0.5633261164958063,non-substrate,substrate
OCNT-0454525-AA-001,-2.5365187327668757,-2.760711998765775,substrate,substrate
OCNT-0454526-AA-001,0.068353845618975,-1.1457727046610473,non-substrate,substrate
