feature,n_with_feature,n_substrate_with,n_substrate_without,rate_with,rate_without,odds_ratio,log2_odds,p_value,q_value,direction
aniline,289,229,655,0.7923875432525952,0.9097222222222222,0.37904949221778844,-1.3995418625450908,8.865853168424956e-07,1.5958535703164922e-05,depleted
amide,829,746,138,0.8998793727382388,0.7666666666666667,2.7433580492444714,1.4559429277490026,4.692061718597869e-06,4.222855546738082e-05,enriched
sulfonamide,124,121,763,0.9758064516129032,0.8621468926553673,5.5697445972495085,2.4776111737538957,6.157321507706143e-05,0.00036943929046236856,enriched
tertiary_aliphatic_amine,198,186,698,0.9393939393939394,0.8606658446362515,2.4243664996420904,1.277607812361965,0.0016945345004384643,0.007625405251973089,enriched
pyrrolidine,116,109,775,0.9396551724137931,0.8678611422172452,2.2309477756286267,1.1576567418548231,0.024569706267024507,0.08845094256128823,enriched
piperidine,204,186,698,0.9117647058823529,0.867080745341615,1.551490645978835,0.6336549988062852,0.09550689624872383,0.2865206887461715,enriched
benzylic_CH,425,380,504,0.8941176470588236,0.863013698630137,1.3343752382404512,0.4161644223131088,0.1474051317341448,0.3493890965674461,enriched
morpholine,20,20,864,1.0,0.8736097067745198,5.951995373048004,2.5733734049265737,0.15921755234292084,0.3493890965674461,enriched
thioether,301,257,627,0.8538205980066446,0.885593220338983,0.7515555754510049,-0.41204830350287386,0.17469454828372305,0.3493890965674461,depleted
piperazine,106,97,787,0.9150943396226415,0.8715393133997785,1.518295739348371,0.6024528316856642,0.27369310348911446,0.492647586280406,enriched
aryl_halide,225,193,691,0.8577777777777778,0.8813775510204082,0.8050392124144836,-0.3128690381469016,0.3587476671212119,0.5870416371074376,depleted
aryl_methyl_ether,193,173,711,0.8963730569948186,0.8713235294117647,1.2549406098417977,0.32761909014088,0.39566878489563295,0.5935031773434495,enriched
unsubstituted_phenyl,240,214,670,0.8916666666666667,0.871261378413524,1.2011734413912456,0.2644444815755213,0.4340284316816778,0.5973790727842888,enriched
N_methyl_amine,40,37,847,0.925,0.8740970072239422,1.5486725663716814,0.631032149417141,0.4646281677211135,0.5973790727842888,enriched
secondary_aliphatic_amine,21,18,866,0.8571428571428571,0.8765182186234818,0.7472590882862089,-0.4203195565862534,0.7370733416550157,0.8844880099860188,depleted
thiophene,97,86,798,0.8865979381443299,0.875,1.0785712341074296,0.10912146226542298,0.8715273939184573,0.9804683181582645,enriched
furan,30,27,857,0.9,0.8753830439223698,1.1224489795918366,0.16664986940945128,1.0,1.0,enriched
ester,82,72,812,0.8780487804878049,0.8759439050701187,0.9815384615384616,-0.026883294150947416,1.0,1.0,depleted
