ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0017486-AA-002,CYP2J2,4,0,none
OCNT-0017486-AA-002,CYP3A4,4,0,none
OCNT-0021863-AA-002,CYP2J2,4,0,none
OCNT-0021863-AA-002,CYP3A4,4,0,none
OCNT-0022119-AA-003,CYP2J2,4,0,none
OCNT-0022119-AA-003,CYP3A4,4,0,none
OCNT-0022128-AA-003,CYP2J2,4,0,none
OCNT-0022128-AA-003,CYP3A4,4,0,none
OCNT-0022129-AA-002,CYP2J2,4,0,none
OCNT-0022129-AA-002,CYP3A4,4,0,none
OCNT-0022137-AA-003,CYP2J2,4,0,none
OCNT-0022137-AA-003,CYP3A4,4,0,none
OCNT-0022142-AA-001,CYP2J2,4,0,none
OCNT-0022142-AA-001,CYP3A4,4,0,none
OCNT-0453746-AA-001,CYP2J2,4,0,none
OCNT-0453746-AA-001,CYP3A4,3,0,none
OCNT-0453782-AA-001,CYP2J2,4,0,none
OCNT-0453782-AA-001,CYP3A4,4,1,partial
OCNT-0453991-AA-001,CYP2J2,4,0,none
OCNT-0453991-AA-001,CYP3A4,4,0,none
OCNT-0454217-AA-001,CYP2J2,4,0,none
OCNT-0454217-AA-001,CYP3A4,4,0,none
OCNT-0454221-AA-001,CYP2J2,4,0,none
OCNT-0454221-AA-001,CYP3A4,4,0,none
OCNT-0454223-AA-001,CYP2J2,4,0,none
OCNT-0454223-AA-001,CYP3A4,4,4,full
OCNT-0454231-AA-001,CYP2J2,4,0,none
OCNT-0454231-AA-001,CYP3A4,4,2,partial
OCNT-0454249-AA-001,CYP2J2,4,0,none
OCNT-0454249-AA-001,CYP3A4,4,0,none
OCNT-0454251-AA-001,CYP2J2,4,0,none
OCNT-0454251-AA-001,CYP3A4,4,0,none
OCNT-0454253-AA-001,CYP2J2,4,0,none
OCNT-0454253-AA-001,CYP3A4,4,0,none
OCNT-0454255-AA-001,CYP2J2,4,0,none
OCNT-0454255-AA-001,CYP3A4,4,0,none
OCNT-0454257-AA-001,CYP2J2,4,0,none
OCNT-0454257-AA-001,CYP3A4,3,0,none
OCNT-0454261-AA-001,CYP2J2,4,0,none
OCNT-0454261-AA-001,CYP3A4,4,0,none
OCNT-0454263-AA-001,CYP2J2,4,0,none
OCNT-0454263-AA-001,CYP3A4,4,0,none
OCNT-0454281-AA-001,CYP2J2,4,0,none
OCNT-0454281-AA-001,CYP3A4,4,0,none
OCNT-0454283-AA-001,CYP2J2,4,0,none
OCNT-0454283-AA-001,CYP3A4,4,0,none
OCNT-0454287-AA-001,CYP2J2,4,0,none
OCNT-0454287-AA-001,CYP3A4,4,0,none
